12723,18956
12723,18977
12723,18979
12723,22314
12723,21847
12723,19301
12738,18956
12738,18977
12738,18979
12738,22314
12738,21847
12738,19301
12789,18956
12789,18977
12789,18979
12789,22314
12789,21847
12789,19301
12854,18956
12854,18977
12854,18979
12854,22314
12854,21847
12854,19301
12860,18956
12860,18977
12860,18979
12860,22314
12860,21847
12860,19301
13781,18956
13781,18977
13781,18979
13781,22314
13781,21847
13781,19301
13738,18956
13738,18977
13738,18979
13738,22314
13738,21847
13738,19301
12910,22534
12910,19288
12910,22674
12984,22534
12984,19288
12984,22674
19221,22674
19221,14199
12890,17702
12890,17686
12890,17679
12890,17672
12890,17674
12848,17702
12848,17686
12848,17679
12848,17672
12848,17674
13726,17674
12860,17674
13871,17674
13738,17674
14097,19212
14097,18819
14097,19301
14097,19015
12779,19212
12779,18819
12779,19301
12779,19015
